model_key,mileage,engine_power,private_parking_available,has_gps,has_air_conditioning,automatic_car,has_getaround_connect,has_speed_regulator,rental_price_per_day,fuel_electro,fuel_hybrid_petrol,fuel_petrol,car_type_coupe,car_type_estate,car_type_hatchback,car_type_sedan,car_type_subcompact,car_type_suv,car_type_van
Citroën,174740,135,1,1,1,0,1,1,150,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Renault,162327,190,1,1,0,1,1,1,153,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,45299,120,1,1,0,0,1,0,166,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,61620,120,0,1,0,1,1,1,164,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,116134,135,0,1,0,0,1,1,148,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,46706,120,1,1,0,0,1,1,155,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,260217,120,1,1,0,0,1,1,92,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,143853,120,1,1,1,0,1,1,130,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,65008,140,1,0,1,0,1,1,156,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,189137,130,0,0,0,0,1,0,93,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,140694,120,1,1,0,0,1,1,135,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,202363,120,1,0,0,0,1,0,87,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,221500,155,1,1,1,0,1,1,96,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,47876,120,1,1,0,0,1,1,158,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,224613,130,0,0,0,0,1,0,94,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,91931,135,0,0,0,1,1,0,112,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Peugeot,23886,110,0,1,0,0,1,0,129,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,140464,105,0,0,0,0,0,1,94,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Peugeot,50421,100,1,1,0,0,0,1,131,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PGO,122991,170,1,1,1,0,1,0,106,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,102178,120,1,0,0,0,1,0,103,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,202811,120,1,0,0,0,1,0,88,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,169722,145,1,0,0,0,1,0,91,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,129338,135,1,1,0,0,1,0,113,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,186950,120,1,1,0,0,0,1,52,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Peugeot,34463,105,0,0,1,0,0,1,154,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,110818,135,1,1,1,0,0,0,122,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,200510,135,1,1,0,0,1,0,104,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Renault,161794,190,1,1,0,1,1,1,152,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,227832,120,1,0,0,0,0,0,73,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Peugeot,108245,100,1,1,1,0,0,0,108,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Renault,221018,135,1,1,0,1,1,0,128,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Peugeot,101658,100,0,1,0,0,0,0,107,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Citroën,163181,120,0,0,0,0,0,0,91,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Citroën,143180,135,0,1,0,0,1,0,114,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Renault,146310,85,0,0,0,0,0,0,87,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PGO,107560,190,0,0,0,0,0,0,120,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Peugeot,78425,100,0,1,0,0,0,0,113,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Renault,95078,140,0,0,0,0,0,0,146,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Renault,246424,120,1,1,0,0,0,0,77,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Peugeot,203950,105,0,1,0,0,0,0,89,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Renault,158002,85,0,0,0,0,0,0,94,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Peugeot,193476,105,0,0,0,0,0,0,81,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Citroën,209208,135,0,0,0,0,0,0,28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Renault,135119,85,0,1,0,0,0,0,104,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Renault,199603,120,1,1,1,0,1,0,114,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Peugeot,41142,105,0,0,0,0,0,0,135,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Renault,46738,85,0,0,0,0,0,0,120,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Citroën,146639,135,0,1,0,0,0,0,28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Renault,159983,85,0,0,0,0,0,0,28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Renault,156627,85,0,1,0,0,0,0,95,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Peugeot,146338,105,0,1,0,0,0,0,115,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Renault,270884,100,1,0,0,0,0,0,33,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
