rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,delay_category
542241,390467,connect,ended,-16.0,537405.0,0.0,0- No delay
542578,356183,mobile,ended,-63.0,,,0- No delay
517656,390927,connect,ended,-111.0,,,0- No delay
542622,354331,mobile,ended,-9.0,,,0- No delay
516513,401612,mobile,ended,-58.0,,,0- No delay
516418,351312,mobile,ended,-25.0,,,0- No delay
515824,377527,mobile,ended,-13.0,,,0- No delay
541679,383104,mobile,ended,-24.0,,,0- No delay
542633,317024,mobile,ended,-27.0,,,0- No delay
513900,409877,mobile,ended,-23.0,,,0- No delay
543055,405005,connect,ended,-26.0,551169.0,720.0,0- No delay
543093,349605,connect,ended,-45.0,,,0- No delay
511557,348462,mobile,ended,-4.0,,,0- No delay
543269,365961,mobile,ended,-115.0,535195.0,210.0,0- No delay
543463,350516,mobile,ended,-22.0,,,0- No delay
543790,347873,connect,ended,-200.0,,,0- No delay
543861,358082,connect,ended,-41.0,542942.0,120.0,0- No delay
543980,334190,connect,ended,-42.0,,,0- No delay
544269,353425,connect,ended,-71.0,,,0- No delay
506877,267547,mobile,ended,-14.0,,,0- No delay
544591,360418,mobile,ended,-22.0,,,0- No delay
544647,301512,mobile,ended,-2.0,,,0- No delay
541387,389094,mobile,ended,-15.0,,,0- No delay
523903,388497,mobile,ended,-62.0,,,0- No delay
542561,374684,mobile,ended,-1.0,545068.0,720.0,0- No delay
542688,365849,mobile,ended,-17.0,,,0- No delay
567798,350099,connect,ended,-45.0,,,0- No delay
567716,297962,connect,ended,-8.0,,,0- No delay
543161,232763,connect,ended,-6.0,,,0- No delay
543300,312572,mobile,ended,-141.0,,,0- No delay
567414,276202,mobile,ended,-5.0,,,0- No delay
543584,401606,mobile,ended,-42.0,,,0- No delay
543701,266557,mobile,ended,-144.0,,,0- No delay
544037,350454,mobile,ended,-8.0,,,0- No delay
523467,371632,connect,ended,-6.0,,,0- No delay
544214,298388,mobile,ended,-11.0,,,0- No delay
531978,355003,mobile,ended,-11.0,,,0- No delay
530919,282666,mobile,ended,-38.0,,,0- No delay
530602,400945,mobile,ended,-45.0,,,0- No delay
540335,301272,mobile,ended,-51.0,,,0- No delay
528841,382250,mobile,ended,-6.0,,,0- No delay
540391,371541,connect,ended,-44.0,,,0- No delay
540521,409808,mobile,ended,-144.0,,,0- No delay
540659,372878,mobile,ended,-4.0,,,0- No delay
540956,362199,connect,ended,-62.0,,,0- No delay
544156,330512,mobile,ended,-6.0,,,0- No delay
562914,213689,mobile,ended,-30.0,,,0- No delay
544709,342710,connect,ended,-9.0,,,0- No delay
544961,346392,mobile,ended,-18.0,,,0- No delay
547430,411521,mobile,ended,-3.0,547755.0,210.0,0- No delay
547913,410887,mobile,ended,-183.0,,,0- No delay
565760,386413,connect,ended,-2.0,550806.0,0.0,0- No delay
565698,405881,mobile,ended,-30.0,,,0- No delay
548294,330954,mobile,ended,-26.0,,,0- No delay
548578,398063,mobile,ended,-100.0,,,0- No delay
548988,336886,mobile,ended,-7.0,,,0- No delay
573895,401475,connect,ended,-62.0,,,0- No delay
573762,394286,mobile,ended,-91.0,,,0- No delay
573283,331714,mobile,ended,-25.0,,,0- No delay
573167,397188,mobile,ended,-121.0,,,0- No delay
549088,407681,mobile,ended,-142.0,,,0- No delay
559283,392241,connect,ended,-3.0,,,0- No delay
572455,365148,mobile,ended,-53.0,,,0- No delay
549186,383462,connect,ended,-87.0,,,0- No delay
571991,241021,connect,ended,-14.0,,,0- No delay
549187,409695,mobile,ended,-39.0,,,0- No delay
571898,359294,mobile,ended,-82.0,,,0- No delay
549263,393968,connect,ended,-47.0,,,0- No delay
549623,389648,mobile,ended,-2.0,,,0- No delay
570665,413333,mobile,ended,-89.0,,,0- No delay
549858,329202,mobile,ended,-48.0,,,0- No delay
549887,345246,mobile,ended,-28.0,,,0- No delay
569930,403636,mobile,ended,-27.0,,,0- No delay
569837,413181,mobile,ended,-145.0,,,0- No delay
